cuda:0
Using device: cuda:0

1 Number of Devices Exists

Episode 742	Average Score: -33.68
Episode 743	Average Score: -33.87
Episode 744	Average Score: -33.72
Episode 745	Average Score: -33.82
Episode 746	Average Score: -33.98
Episode 747	Average Score: -33.94
Episode 748	Average Score: -34.14
Episode 749	Average Score: -34.19Initial Position is [-0.14949378  0.25463605]
===============================================================
Target Position is [-0.259789    0.09376726]
===============================================================
Initial Kappas are  [7.477614666461394, -2.7697603976154004, 2.700821832040047]
===============================================================
Goal Kappas are  [14.929105893620367, -0.4825754752270637, -0.8550540177361019]
===============================================================

Episode 750	Average Score: -33.95
Episode 750	Average Score: -33.95

Episode 751	Average Score: -33.89
Episode 752	Average Score: -33.79
Episode 753	Average Score: -33.76
Episode 754	Average Score: -33.59
Episode 755	Average Score: -33.58
Episode 756	Average Score: -33.62
Episode 757	Average Score: -33.71
Episode 758	Average Score: -33.61
Episode 759	Average Score: -33.28
Episode 760	Average Score: -33.05
Episode 761	Average Score: -33.08
Episode 762	Average Score: -33.07
Episode 763	Average Score: -33.14
Episode 764	Average Score: -33.04
Episode 765	Average Score: -33.17
Episode 766	Average Score: -32.94
Episode 767	Average Score: -32.81
Episode 768	Average Score: -33.02
Episode 769	Average Score: -33.04
Episode 770	Average Score: -33.03
Episode 771	Average Score: -33.13
Episode 772	Average Score: -33.12
Episode 773	Average Score: -33.26
Episode 774	Average Score: -33.49
Episode 775	Average Score: -33.69
Episode 776	Average Score: -33.78
Episode 777	Average Score: -34.04
Episode 778	Average Score: -34.07
Episode 779	Average Score: -33.99
Episode 780	Average Score: -33.92
Episode 781	Average Score: -33.96
Episode 782	Average Score: -34.19
Episode 783	Average Score: -34.21
Episode 784	Average Score: -34.23
Episode 785	Average Score: -34.15
Episode 786	Average Score: -34.17
Episode 787	Average Score: -34.32
Episode 788	Average Score: -34.22
Episode 789	Average Score: -34.33
Episode 790	Average Score: -34.25
Episode 791	Average Score: -34.10
Episode 792	Average Score: -34.14
Episode 793	Average Score: -33.99
Episode 794	Average Score: -33.97
Episode 795	Average Score: -33.96
Episode 796	Average Score: -33.85
Episode 797	Average Score: -33.99
Episode 798	Average Score: -33.97
Episode 799	Average Score: -33.96
Episode 800	Average Score: -34.04
Episode 801	Average Score: -34.07
Episode 802	Average Score: -34.28
Episode 803	Average Score: -34.32
Episode 804	Average Score: -34.39
Episode 805	Average Score: -34.24
Episode 806	Average Score: -34.26
Episode 807	Average Score: -34.41
Episode 808	Average Score: -34.48
Episode 809	Average Score: -34.69
Episode 810	Average Score: -34.70
Episode 811	Average Score: -34.79
Episode 812	Average Score: -35.11
Episode 813	Average Score: -35.09
Episode 814	Average Score: -35.25
Episode 815	Average Score: -35.46
Episode 816	Average Score: -35.77
Episode 817	Average Score: -35.78
Episode 818	Average Score: -35.75
Episode 819	Average Score: -35.78
Episode 820	Average Score: -36.35
Episode 821	Average Score: -36.34
Episode 822	Average Score: -36.33
Episode 823	Average Score: -36.40
Episode 824	Average Score: -36.60
Episode 825	Average Score: -36.54
Episode 826	Average Score: -36.76
Episode 827	Average Score: -36.88
